,sample_id,peak_id,energy,energy_sigma,wave number,area,RI,FWHM,type
21,PTCDI_17_12_2024_R1,Peak 2,0.01114,0.024,89.82,5.842,60,0.0188,PTCDI
56,IPRPTCDI_19_12_2024_R4,Peak 0,0.04242,0.0013,342.2,19.31,43,0.0203,IPRPTCDI
12,Ag111_17_12_2024_R3,Peak 1,0.0479,0.00094,386.4,16.58,496,0.0195,Ag111
23,PTCDI_17_12_2024_R1,Peak 4,0.05739,0.0012,462.9,4.332,44,0.0242,PTCDI
1,Ag111_12_12_2024_R39,Peak 1,0.06169,0.0033,497.6,54.93,227,0.0342,Ag111
6,Ag111_12_12_2024_R40,Peak 0,0.067,0.02,540.4,48.18,471,0.038,Ag111
13,Ag111_17_12_2024_R3,Peak 2,0.0687,0.002,554.1,27.09,811,0.0322,Ag111
2,Ag111_12_12_2024_R39,Peak 2,0.09867,0.005,795.8,144.4,597,0.0576,Ag111
7,Ag111_12_12_2024_R40,Peak 1,0.105,0.02,846.7,97.75,956,0.0514,Ag111
24,PTCDI_17_12_2024_R1,Peak 5,0.105,0.00093,847.0,15.81,163,0.0483,PTCDI
14,Ag111_17_12_2024_R3,Peak 3,0.1052,0.0047,848.8,23.28,697,0.0375,Ag111
33,PTCDI_17_12_2024_R6,Peak 2,0.1062,0.0052,856.6,15.4,365,0.0508,PTCDI
64,IPRPTCDI_19_12_2024_R6,Peak 1,0.1201,0.042,968.8,36.87,122,0.0627,IPRPTCDI
49,IPRPTCDI_19_12_2024_R2,Peak 1,0.1231,0.011,992.5,6.739,46,0.0448,IPRPTCDI
57,IPRPTCDI_19_12_2024_R4,Peak 1,0.13,0.031,1048.0,87.98,198,0.0915,IPRPTCDI
15,Ag111_17_12_2024_R3,Peak 4,0.1388,0.027,1120.0,1.648,49,0.00914,Ag111
25,PTCDI_17_12_2024_R1,Peak 6,0.1524,0.0019,1229.0,3.914,40,0.0231,PTCDI
16,Ag111_17_12_2024_R3,Peak 5,0.1569,0.0054,1266.0,41.16,1233,0.0964,Ag111
3,Ag111_12_12_2024_R39,Peak 3,0.1633,0.013,1317.0,151.4,627,0.0903,Ag111
8,Ag111_12_12_2024_R40,Peak 2,0.1688,0.024,1361.0,111.0,1086,0.0798,Ag111
34,PTCDI_17_12_2024_R6,Peak 3,0.1723,0.028,1390.0,10.09,239,0.0519,PTCDI
65,IPRPTCDI_19_12_2024_R6,Peak 2,0.174,0.037,1404.0,51.68,171,0.0565,IPRPTCDI
26,PTCDI_17_12_2024_R1,Peak 7,0.1802,0.002,1453.0,4.496,46,0.0236,PTCDI
50,IPRPTCDI_19_12_2024_R2,Peak 2,0.1853,0.0051,1494.0,28.36,195,0.0674,IPRPTCDI
58,IPRPTCDI_19_12_2024_R4,Peak 2,0.1884,0.0087,1520.0,84.27,189,0.0627,IPRPTCDI
27,PTCDI_17_12_2024_R1,Peak 8,0.2052,0.0075,1655.0,8.527,88,0.0437,PTCDI
35,PTCDI_17_12_2024_R6,Peak 4,0.2167,0.037,1747.0,6.67,158,0.0472,PTCDI
42,IPRPTCDI_19_12_2024_R1,Peak 2,0.2304,0.013,1859.0,2.725,16,0.0336,IPRPTCDI
9,Ag111_12_12_2024_R40,Peak 3,0.277,0.052,2234.0,1.189,11,0.0194,Ag111
59,IPRPTCDI_19_12_2024_R4,Peak 3,0.3252,0.066,2623.0,41.36,93,0.218,IPRPTCDI
37,PTCDI_17_12_2024_R6,Peak 6,0.3606,0.1,2908.0,8.608,204,0.247,PTCDI
43,IPRPTCDI_19_12_2024_R1,Peak 3,0.3737,0.049,3014.0,20.02,118,0.177,IPRPTCDI
67,IPRPTCDI_19_12_2024_R6,Peak 4,0.3767,0.039,3038.0,57.26,190,0.171,IPRPTCDI
51,IPRPTCDI_19_12_2024_R2,Peak 3,0.3791,0.052,3058.0,35.57,245,0.268,IPRPTCDI
10,Ag111_12_12_2024_R40,Peak 4,0.3915,0.017,3158.0,10.22,100,0.0398,Ag111
17,Ag111_17_12_2024_R3,Peak 6,0.3916,0.004,3159.0,3.338,100,0.042,Ag111
60,IPRPTCDI_19_12_2024_R4,Peak 4,0.3925,0.0024,3166.0,44.38,100,0.0496,IPRPTCDI
68,IPRPTCDI_19_12_2024_R6,Peak 5,0.3931,0.0041,3170.0,30.06,100,0.0427,IPRPTCDI
52,IPRPTCDI_19_12_2024_R2,Peak 4,0.3933,0.0024,3172.0,14.5,100,0.0415,IPRPTCDI
44,IPRPTCDI_19_12_2024_R1,Peak 4,0.3946,0.0036,3183.0,16.89,100,0.0439,IPRPTCDI
5,Ag111_12_12_2024_R39,Peak 5,0.3951,0.0071,3187.0,24.15,100,0.0608,Ag111
28,PTCDI_17_12_2024_R1,Peak 9,0.399,0.0013,3219.0,9.671,100,0.0541,PTCDI
36,PTCDI_17_12_2024_R6,Peak 5,0.4002,0.0075,3228.0,4.21,100,0.047,PTCDI
18,Ag111_17_12_2024_R3,Peak 7,0.4721,0.023,3807.0,3.492,104,0.108,Ag111
69,IPRPTCDI_19_12_2024_R6,Peak 6,0.5534,0.061,4464.0,15.77,52,0.111,IPRPTCDI
