% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 50 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 90.42 ms, time offset -3.740 ms, Precision acquisition mode, 40 averages
% Edge trigger: Channel B, level 427.0 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2024-11-14 T 17:28:44 +0100
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-4.147545600000e-02, -1.298570e-01, 4.957681e+00
-4.138675200000e-02, -1.287293e-01, 4.957799e+00
-4.129804800000e-02, -1.251926e-01, 4.957752e+00
-4.120934400000e-02, -1.265358e-01, 4.957810e+00
-4.112064000000e-02, -1.353852e-01, 4.957787e+00
-4.103193600000e-02, -1.293429e-01, 4.957880e+00
-4.094323200000e-02, -1.332390e-01, 4.957839e+00
-4.085452800000e-02, -1.389415e-01, 4.957739e+00
-4.076582400000e-02, -1.359084e-01, 4.957688e+00
-4.067712000000e-02, -1.367433e-01, 4.957848e+00
-4.058841600000e-02, -1.367981e-01, 4.957893e+00
-4.049971200000e-02, -1.421162e-01, 4.957875e+00
-4.041100800000e-02, -1.447873e-01, 4.958080e+00
-4.032230400000e-02, -1.433105e-01, 4.957853e+00
-4.023360000000e-02, -1.417445e-01, 4.957733e+00
-4.014489600000e-02, -1.385687e-01, 4.957751e+00
-4.005619200000e-02, -1.381829e-01, 4.957889e+00
-3.996748800000e-02, -1.368449e-01, 4.957931e+00
-3.987878400000e-02, -1.401344e-01, 4.958186e+00
-3.979008000000e-02, -1.394697e-01, 4.958040e+00
-3.970137600000e-02, -1.440441e-01, 4.957958e+00
-3.961267200000e-02, -1.468575e-01, 4.957950e+00
-3.952396800000e-02, -1.488106e-01, 4.957922e+00
-3.943526400000e-02, -1.437701e-01, 4.958059e+00
-3.934656000000e-02, -1.528494e-01, 4.958475e+00
-3.925785600000e-02, -1.577895e-01, 4.957671e+00
-3.916915200000e-02, -1.616812e-01, 4.957961e+00
-3.908044800000e-02, -1.619692e-01, 4.957894e+00
-3.899174400000e-02, -1.578908e-01, 4.957943e+00
-3.890304000000e-02, -1.518633e-01, 4.957886e+00
-3.881433600000e-02, -1.507258e-01, 4.958029e+00
-3.872563200000e-02, -1.489764e-01, 4.957863e+00
-3.863692800000e-02, -1.559051e-01, 4.957936e+00
-3.854822400000e-02, -1.535948e-01, 4.958018e+00
-3.845952000000e-02, -1.553211e-01, 4.958036e+00
-3.837081600000e-02, -1.540822e-01, 4.958365e+00
-3.828211200000e-02, -1.682693e-01, 4.957982e+00
-3.819340800000e-02, -1.729070e-01, 4.958021e+00
-3.810470400000e-02, -1.723207e-01, 4.958126e+00
-3.801600000000e-02, -1.720178e-01, 4.957708e+00
-3.792729600000e-02, -1.744763e-01, 4.958164e+00
-3.783859200000e-02, -1.672149e-01, 4.957875e+00
-3.774988800000e-02, -1.598406e-01, 4.957907e+00
-3.766118400000e-02, -1.657558e-01, 4.958113e+00
-3.757248000000e-02, -1.790143e-01, 4.957679e+00
-3.748377600000e-02, -1.817035e-01, 4.958063e+00
-3.739507200000e-02, -1.797162e-01, 4.019786e+00
-3.730636800000e-02, -1.826271e-01, 4.852415e-01
-3.721766400000e-02, -1.739052e-01, -3.176648e-02
-3.712896000000e-02, -1.587956e-01, -3.233563e-02
-3.704025600000e-02, -1.551426e-01, -3.258335e-02
-3.695155200000e-02, -1.657932e-01, -3.271206e-02
-3.686284800000e-02, -1.662732e-01, -3.272938e-02
-3.677414400000e-02, -1.529562e-01, -3.290787e-02
-3.668544000000e-02, -1.572340e-01, -3.284611e-02
-3.659673600000e-02, -1.647088e-01, -3.288080e-02
-3.650803200000e-02, -1.597432e-01, -3.278938e-02
-3.641932800000e-02, -1.614262e-01, -3.298415e-02
-3.633062400000e-02, -1.564903e-01, -3.292271e-02
-3.624192000000e-02, -1.611321e-01, -3.287967e-02
-3.615321600000e-02, -1.631635e-01, -3.294190e-02
-3.606451200000e-02, -1.632274e-01, -3.297308e-02
-3.597580800000e-02, -1.729935e-01, -3.294356e-02
-3.588710400000e-02, -1.704703e-01, -3.293004e-02
-3.579840000000e-02, -1.605913e-01, -3.292976e-02
-3.570969600000e-02, -1.595000e-01, -3.295008e-02
-3.562099200000e-02, -1.547150e-01, -3.300163e-02
-3.553228800000e-02, -1.541981e-01, -3.298387e-02
-3.544358400000e-02, -1.548356e-01, -3.304172e-02
-3.535488000000e-02, -1.516202e-01, -3.307028e-02
-3.526617600000e-02, -1.510149e-01, -3.303357e-02
-3.517747200000e-02, -1.521935e-01, -3.295647e-02
-3.508876800000e-02, -1.415969e-01, -3.305084e-02
-3.500006400000e-02, -1.413681e-01, -3.296955e-02
-3.491136000000e-02, -1.475365e-01, -3.277071e-02
-3.482265600000e-02, -1.480454e-01, -3.293956e-02
-3.473395200000e-02, -1.429404e-01, -3.295187e-02
-3.464524800000e-02, -1.469296e-01, -3.288152e-02
-3.455654400000e-02, -1.440732e-01, -3.271867e-02
-3.446784000000e-02, -1.379678e-01, -3.276168e-02
-3.437913600000e-02, -1.391885e-01, -3.289245e-02
-3.429043200000e-02, -1.410255e-01, -3.296303e-02
-3.420172800000e-02, -1.339610e-01, -3.308675e-02
-3.411302400000e-02, -1.263596e-01, -3.316919e-02
-3.402432000000e-02, -1.272537e-01, -3.323525e-02
-3.393561600000e-02, -1.213906e-01, -3.301152e-02
-3.384691200000e-02, -1.230516e-01, -3.290881e-02
-3.375820800000e-02, -1.234046e-01, -3.299588e-02
-3.366950400000e-02, -1.181848e-01, -3.315779e-02
-3.358080000000e-02, -1.129727e-01, -3.303547e-02
-3.349209600000e-02, -1.167813e-01, -3.314879e-02
-3.340339200000e-02, -1.133648e-01, -3.288367e-02
-3.331468800000e-02, -1.100029e-01, -3.307557e-02
-3.322598400000e-02, -1.052236e-01, -3.319130e-02
-3.313728000000e-02, -1.138902e-01, -3.299811e-02
-3.304857600000e-02, -1.122741e-01, -3.295135e-02
