% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 50 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 84.39 ms, time offset -3.740 ms, Precision acquisition mode, 40 averages
% Edge trigger: Channel B, level 427.0 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2024-11-14 T 18:02:48 +0100
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-3.845932800000e-02, -1.367983e-01, -3.402624e-02
-3.837353600000e-02, -1.366454e-01, -3.401719e-02
-3.828774400000e-02, -1.405001e-01, -3.387230e-02
-3.820195200000e-02, -1.355866e-01, -3.402177e-02
-3.811616000000e-02, -1.372012e-01, -3.408091e-02
-3.803036800000e-02, -1.305147e-01, -3.390777e-02
-3.794457600000e-02, -1.282592e-01, -3.390885e-02
-3.785878400000e-02, -1.272254e-01, -3.407495e-02
-3.777299200000e-02, -1.293349e-01, -3.405816e-02
-3.768720000000e-02, -1.269322e-01, -3.401522e-02
-3.760140800000e-02, -1.189343e-01, -3.390823e-02
-3.751561600000e-02, -1.195294e-01, -3.391606e-02
-3.742982400000e-02, -1.172770e-01, -3.387409e-02
-3.734403200000e-02, -1.205339e-01, -3.386734e-02
-3.725824000000e-02, -1.291985e-01, -3.387583e-02
-3.717244800000e-02, -1.226766e-01, -3.393485e-02
-3.708665600000e-02, -1.174205e-01, -3.390908e-02
-3.700086400000e-02, -1.111261e-01, -3.407464e-02
-3.691507200000e-02, -1.109613e-01, -3.390362e-02
-3.682928000000e-02, -1.082440e-01, -3.404164e-02
-3.674348800000e-02, -1.040080e-01, -3.391936e-02
-3.665769600000e-02, -1.022542e-01, -3.383665e-02
-3.657190400000e-02, -1.092641e-01, -3.381712e-02
-3.648611200000e-02, -1.053021e-01, -3.395805e-02
-3.640032000000e-02, -1.105453e-01, -3.414995e-02
-3.631452800000e-02, -1.113536e-01, -3.403552e-02
-3.622873600000e-02, -1.107025e-01, -3.411618e-02
-3.614294400000e-02, -1.101954e-01, -3.425837e-02
-3.605715200000e-02, -1.086534e-01, -3.416401e-02
-3.597136000000e-02, -1.066060e-01, -3.407541e-02
-3.588556800000e-02, -9.873547e-02, -3.397357e-02
-3.579977600000e-02, -1.006635e-01, -3.398370e-02
-3.571398400000e-02, -1.000856e-01, -3.389223e-02
-3.562819200000e-02, -9.257430e-02, -3.400716e-02
-3.554240000000e-02, -9.688370e-02, -3.419043e-02
-3.545660800000e-02, -9.772446e-02, -3.404341e-02
-3.537081600000e-02, -1.001656e-01, -3.403677e-02
-3.528502400000e-02, -1.081537e-01, -3.404660e-02
-3.519923200000e-02, -1.092889e-01, -3.397388e-02
-3.511344000000e-02, -1.009295e-01, -3.385818e-02
-3.502764800000e-02, -1.009810e-01, -3.385726e-02
-3.494185600000e-02, -9.805956e-02, -3.393186e-02
-3.485606400000e-02, -9.185740e-02, -3.405369e-02
-3.477027200000e-02, -8.968163e-02, -3.408714e-02
-3.468448000000e-02, -7.842840e-02, -3.399743e-02
-3.459868800000e-02, -8.545452e-02, -3.403222e-02
-3.451289600000e-02, -9.352724e-02, -3.403296e-02
