% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 50 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 78.12 ms, time offset -3.740 ms, Precision acquisition mode, 40 averages
% Edge trigger: Channel B, level 427.0 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2024-11-14 T 19:08:22 +0100
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-3.532179200000e-02, -2.521064e-01, -3.544841e-02
-3.524212800000e-02, -2.489186e-01, -3.541977e-02
-3.516246400000e-02, -2.523640e-01, -3.551037e-02
-3.508280000000e-02, -2.500868e-01, -3.543338e-02
-3.500313600000e-02, -2.562264e-01, -3.542887e-02
-3.492347200000e-02, -2.543717e-01, -3.535342e-02
-3.484380800000e-02, -2.520601e-01, -3.541753e-02
-3.476414400000e-02, -2.523621e-01, -3.538393e-02
-3.468448000000e-02, -2.539488e-01, -3.549921e-02
-3.460481600000e-02, -2.542282e-01, -3.537151e-02
-3.452515200000e-02, -2.481416e-01, -3.542894e-02
-3.444548800000e-02, -2.452288e-01, -3.542541e-02
-3.436582400000e-02, -2.480883e-01, -3.535271e-02
-3.428616000000e-02, -2.495204e-01, -3.538304e-02
-3.420649600000e-02, -2.405030e-01, -3.532334e-02
-3.412683200000e-02, -2.332065e-01, -3.537730e-02
-3.404716800000e-02, -2.254707e-01, -3.236514e-02
-3.396750400000e-02, -2.212866e-01, 1.337540e+00
-3.388784000000e-02, -2.194043e-01, 4.091383e+00
-3.380817600000e-02, -2.103191e-01, 4.954757e+00
-3.372851200000e-02, -2.071843e-01, 4.955100e+00
-3.364884800000e-02, -2.051855e-01, 4.955351e+00
-3.356918400000e-02, -2.012084e-01, 4.955342e+00
-3.348952000000e-02, -1.912392e-01, 4.955507e+00
-3.340985600000e-02, -1.862985e-01, 4.955523e+00
-3.333019200000e-02, -1.865143e-01, 4.955568e+00
-3.325052800000e-02, -1.810397e-01, 4.955636e+00
-3.317086400000e-02, -1.777774e-01, 4.955685e+00
