,wl,mean,1,2,3,meta,std
0,5002.0009765625,9.33e-06,1e-05,1e-05,8e-06,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,1.1547004e-06
1,5043.917561848958,1.233e-05,1.3e-05,1.2e-05,1.2e-05,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,5.773499e-07
2,5085.834147135417,1.233e-05,1.2e-05,1.2e-05,1.3e-05,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,5.773499e-07
3,5127.750732421875,1.467e-05,1.3e-05,1.6e-05,1.5e-05,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,1.5275252e-06
4,5169.667317708333,1.7e-05,1.5e-05,2e-05,1.6e-05,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,2.6457512e-06
5,5211.583902994792,2.1e-05,2.1e-05,2e-05,2.2e-05,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,1.0000003e-06
6,5253.50048828125,2.133e-05,2.1e-05,2.2e-05,2.1e-05,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,5.773505e-07
7,5295.417073567708,2.467e-05,2.2e-05,2.5e-05,2.7e-05,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,2.5166114e-06
8,5337.333658854167,2.967e-05,2.7e-05,3.1e-05,3.1e-05,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,2.3094008e-06
9,5379.250244140625,3.333e-05,3.3e-05,3.5e-05,3.2e-05,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,1.5275258e-06
10,5421.166829427083,3.867e-05,4e-05,3.8e-05,3.8e-05,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,1.154701e-06
11,5463.083414713542,4.233e-05,4.1e-05,4.3e-05,4.3e-05,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,1.154701e-06
12,5505.0,5.2e-05,5.3e-05,5.1e-05,5.2e-05,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,1.0000003e-06
13,5546.916585286458,5.7e-05,5.7e-05,5.7e-05,5.7e-05,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,0.0
14,5588.833170572917,6.433e-05,6.3e-05,6.5e-05,6.5e-05,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,1.154701e-06
15,5630.749755859375,7.233e-05,7.1e-05,7.5e-05,7.1e-05,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,2.309402e-06
16,5672.666341145833,8.133e-05,8.1e-05,8.2e-05,8.1e-05,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,5.773505e-07
17,5714.582926432292,9.3e-05,9.3e-05,9.3e-05,9.3e-05,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,0.0
18,5756.49951171875,0.00010067,0.000101,0.000101,1e-04,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,5.773505e-07
19,5798.416097005208,0.00011367,0.000113,0.000113,0.000115,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,1.154701e-06
20,5840.332682291667,0.000126,0.000126,0.000126,0.000126,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,0.0
21,5882.249267578125,0.00014233,0.000143,0.000141,0.000143,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,1.154701e-06
22,5924.165852864583,0.000159,0.000158,0.000162,0.000157,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,2.6457494e-06
23,5966.082438151042,0.00017433,0.000175,0.000176,0.000172,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,2.0816656e-06
24,6007.9990234375,0.00019567,0.000195,0.000195,0.000197,BB_RAD_300ms_700V_10p5tac_303Hz__5mil6mil_241024,1.154701e-06
25,6007.9990234375,0.00019767,0.000196,0.000196,0.000201,BB_RAD_300ms_700V_10p5tac_303Hz__6mil7mil_241024,2.8867566e-06
26,6049.915710449219,0.00021433,0.000212,0.000216,0.000215,BB_RAD_300ms_700V_10p5tac_303Hz__6mil7mil_241024,2.0816656e-06
