% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 50 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 52.89 ms, time offset 0.000 s, Precision acquisition mode, 40 averages
% Edge trigger: Channel B, level 142.3 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2024-11-14 T 14:32:17 +0100
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-2.644408000000e-02, -6.781006e-01, -1.372712e-02
-2.639214400000e-02, -6.804239e-01, -1.374009e-02
-2.634020800000e-02, -6.836930e-01, -1.369153e-02
-2.628827200000e-02, -6.784613e-01, -1.369428e-02
-2.623633600000e-02, -6.764893e-01, -1.371001e-02
-2.618440000000e-02, -6.742718e-01, -1.367787e-02
-2.613246400000e-02, -6.717119e-01, -1.369041e-02
-2.608052800000e-02, -6.710982e-01, -1.371194e-02
-2.602859200000e-02, -6.701114e-01, -1.373189e-02
-2.597665600000e-02, -6.742191e-01, -1.374098e-02
-2.592472000000e-02, -6.666834e-01, -1.374356e-02
-2.587278400000e-02, -6.577616e-01, -1.372458e-02
-2.582084800000e-02, -6.555389e-01, -1.373437e-02
-2.576891200000e-02, -6.416916e-01, -1.369732e-02
-2.571697600000e-02, -6.413017e-01, -1.372147e-02
-2.566504000000e-02, -6.395855e-01, -1.373178e-02
-2.561310400000e-02, -6.287712e-01, -1.373145e-02
-2.556116800000e-02, -6.140412e-01, -1.375550e-02
-2.550923200000e-02, -6.014707e-01, -1.370101e-02
-2.545729600000e-02, -5.994075e-01, -1.372496e-02
-2.540536000000e-02, -5.995636e-01, -1.370642e-02
-2.535342400000e-02, -5.880730e-01, -1.373286e-02
-2.530148800000e-02, -5.813965e-01, -1.372143e-02
-2.524955200000e-02, -5.767372e-01, -1.373531e-02
-2.519761600000e-02, -5.621284e-01, -1.372007e-02
-2.514568000000e-02, -5.559659e-01, -1.372577e-02
-2.509374400000e-02, -5.569804e-01, -1.375385e-02
-2.504180800000e-02, -5.483323e-01, -1.372650e-02
-2.498987200000e-02, -5.387799e-01, -1.369038e-02
-2.493793600000e-02, -5.264404e-01, -1.370637e-02
-2.488600000000e-02, -5.193011e-01, -1.372271e-02
-2.483406400000e-02, -5.203489e-01, -1.370489e-02
-2.478212800000e-02, -5.145110e-01, -1.372606e-02
-2.473019200000e-02, -5.129933e-01, -1.371424e-02
-2.467825600000e-02, -5.095440e-01, -1.374543e-02
-2.462632000000e-02, -5.076148e-01, -1.378418e-02
-2.457438400000e-02, -5.020948e-01, -1.377961e-02
-2.452244800000e-02, -4.946870e-01, -1.377710e-02
-2.447051200000e-02, -4.787383e-01, -1.375859e-02
-2.441857600000e-02, -4.681488e-01, -1.372734e-02
-2.436664000000e-02, -4.652004e-01, -1.372540e-02
-2.431470400000e-02, -4.592285e-01, -1.375172e-02
-2.426276800000e-02, -4.605877e-01, -1.375042e-02
-2.421083200000e-02, -4.490124e-01, -1.375557e-02
-2.415889600000e-02, -4.399157e-01, -1.373628e-02
-2.410696000000e-02, -4.358216e-01, -1.371038e-02
-2.405502400000e-02, -4.320573e-01, -1.369063e-02
-2.400308800000e-02, -4.279966e-01, -1.373277e-02
-2.395115200000e-02, -4.195527e-01, -1.377060e-02
-2.389921600000e-02, -4.159638e-01, -1.374008e-02
-2.384728000000e-02, -4.144696e-01, -1.370890e-02
-2.379534400000e-02, -4.156035e-01, -1.370817e-02
-2.374340800000e-02, -4.108444e-01, -1.369395e-02
-2.369147200000e-02, -4.025839e-01, -1.369432e-02
-2.363953600000e-02, -4.016941e-01, -1.374005e-02
-2.358760000000e-02, -3.972407e-01, -1.375825e-02
-2.353566400000e-02, -3.896467e-01, -1.373389e-02
-2.348372800000e-02, -3.904556e-01, -1.372175e-02
-2.343179200000e-02, -3.880852e-01, -1.376897e-02
-2.337985600000e-02, -3.799931e-01, -1.375059e-02
-2.332792000000e-02, -3.802376e-01, -1.372688e-02
-2.327598400000e-02, -3.750261e-01, -1.376344e-02
-2.322404800000e-02, -3.613740e-01, -1.376097e-02
-2.317211200000e-02, -3.528125e-01, -1.371184e-02
-2.312017600000e-02, -3.456534e-01, -1.378073e-02
-2.306824000000e-02, -3.358033e-01, -1.374321e-02
-2.301630400000e-02, -3.407641e-01, -1.373945e-02
-2.296436800000e-02, -3.388725e-01, -1.372973e-02
-2.291243200000e-02, -3.319265e-01, -1.373805e-02
-2.286049600000e-02, -3.314313e-01, -1.375106e-02
-2.280856000000e-02, -3.291559e-01, -1.377533e-02
-2.275662400000e-02, -3.255157e-01, -1.376764e-02
-2.270468800000e-02, -3.198955e-01, -1.379334e-02
-2.265275200000e-02, -3.224427e-01, -1.381762e-02
-2.260081600000e-02, -3.158147e-01, -1.378850e-02
-2.254888000000e-02, -3.023742e-01, -1.377158e-02
-2.249694400000e-02, -3.002173e-01, -1.381294e-02
-2.244500800000e-02, -2.963495e-01, -1.383562e-02
-2.239307200000e-02, -2.961364e-01, -1.380257e-02
-2.234113600000e-02, -2.975808e-01, -1.379906e-02
-2.228920000000e-02, -2.914874e-01, -1.381810e-02
-2.223726400000e-02, -2.895813e-01, -1.381045e-02
-2.218532800000e-02, -2.827942e-01, -1.382347e-02
-2.213339200000e-02, -2.756220e-01, -1.384006e-02
-2.208145600000e-02, -2.662657e-01, -1.385925e-02
-2.202952000000e-02, -2.695691e-01, -1.384359e-02
-2.197758400000e-02, -2.707002e-01, -1.382809e-02
-2.192564800000e-02, -2.626142e-01, -1.383587e-02
-2.187371200000e-02, -2.571614e-01, -1.384084e-02
-2.182177600000e-02, -2.569554e-01, -1.384408e-02
-2.176984000000e-02, -2.555088e-01, -1.383745e-02
-2.171790400000e-02, -2.519424e-01, -1.386086e-02
-2.166596800000e-02, -2.431001e-01, -1.381968e-02
-2.161403200000e-02, -2.448158e-01, -1.381077e-02
-2.156209600000e-02, -2.429214e-01, -1.385882e-02
-2.151016000000e-02, -2.407608e-01, -1.383354e-02
-2.145822400000e-02, -2.358512e-01, -1.379651e-02
-2.140628800000e-02, -2.361682e-01, -1.381688e-02
-2.135435200000e-02, -2.407584e-01, -1.382609e-02
-2.130241600000e-02, -2.395808e-01, -1.382355e-02
-2.125048000000e-02, -2.398028e-01, -1.382207e-02
-2.119854400000e-02, -2.328239e-01, -1.377394e-02
-2.114660800000e-02, -2.282774e-01, -1.377786e-02
-2.109467200000e-02, -2.233316e-01, -1.374218e-02
-2.104273600000e-02, -2.272714e-01, -1.376569e-02
-2.099080000000e-02, -2.159524e-01, -1.374380e-02
-2.093886400000e-02, -2.128611e-01, -1.379966e-02
-2.088692800000e-02, -2.204105e-01, -1.381069e-02
-2.083499200000e-02, -2.170544e-01, -1.383080e-02
-2.078305600000e-02, -2.102711e-01, -1.380953e-02
-2.073112000000e-02, -2.162290e-01, -1.382253e-02
-2.067918400000e-02, -2.169533e-01, -1.381527e-02
-2.062724800000e-02, -2.091720e-01, -1.380539e-02
-2.057531200000e-02, -2.086151e-01, -1.384360e-02
-2.052337600000e-02, -2.011706e-01, -1.379941e-02
-2.047144000000e-02, -1.966265e-01, -1.381911e-02
-2.041950400000e-02, -1.954159e-01, -1.379670e-02
-2.036756800000e-02, -1.971542e-01, -1.380013e-02
-2.031563200000e-02, -1.857680e-01, -1.378891e-02
-2.026369600000e-02, -1.827942e-01, -1.376249e-02
-2.021176000000e-02, -1.820779e-01, -1.378976e-02
-2.015982400000e-02, -1.798835e-01, -1.380228e-02
-2.010788800000e-02, -1.827411e-01, -1.376762e-02
-2.005595200000e-02, -1.791733e-01, -1.376069e-02
-2.000401600000e-02, -1.754235e-01, -1.379554e-02
-1.995208000000e-02, -1.755091e-01, -1.380067e-02
-1.990014400000e-02, -1.720227e-01, -1.382903e-02
-1.984820800000e-02, -1.588479e-01, -1.376527e-02
-1.979627200000e-02, -1.567772e-01, -1.377780e-02
-1.974433600000e-02, -1.595689e-01, -1.378134e-02
-1.969240000000e-02, -1.589265e-01, -1.378319e-02
-1.964046400000e-02, -1.602791e-01, -1.376243e-02
-1.958852800000e-02, -1.629947e-01, -1.374724e-02
-1.953659200000e-02, -1.566803e-01, -1.368821e-02
-1.948465600000e-02, -1.488078e-01, -1.371610e-02
-1.943272000000e-02, -1.528539e-01, -1.372817e-02
-1.938078400000e-02, -1.505112e-01, -1.372626e-02
-1.932884800000e-02, -1.469402e-01, -1.371725e-02
-1.927691200000e-02, -1.480482e-01, -1.373989e-02
-1.922497600000e-02, -1.493134e-01, -1.376397e-02
-1.917304000000e-02, -1.455363e-01, -1.375886e-02
-1.912110400000e-02, -1.401626e-01, -1.377023e-02
-1.906916800000e-02, -1.433851e-01, -1.377361e-02
-1.901723200000e-02, -1.386425e-01, -1.377077e-02
-1.896529600000e-02, -1.275239e-01, -1.374453e-02
-1.891336000000e-02, -1.326592e-01, -1.374726e-02
-1.886142400000e-02, -1.333275e-01, -1.379716e-02
-1.880948800000e-02, -1.317087e-01, -1.380295e-02
-1.875755200000e-02, -1.262804e-01, -1.383359e-02
-1.870561600000e-02, -1.244975e-01, -1.380186e-02
-1.865368000000e-02, -1.286009e-01, -1.380213e-02
-1.860174400000e-02, -1.342470e-01, 3.524565e-01
-1.854980800000e-02, -1.385419e-01, 2.475631e+00
-1.849787200000e-02, -1.324053e-01, 4.529518e+00
-1.844593600000e-02, -1.257396e-01, 4.972774e+00
-1.839400000000e-02, -1.282468e-01, 4.972882e+00
-1.834206400000e-02, -1.180091e-01, 4.972982e+00
-1.829012800000e-02, -1.118372e-01, 4.973063e+00
-1.823819200000e-02, -1.119205e-01, 4.972931e+00
-1.818625600000e-02, -1.074046e-01, 4.972991e+00
-1.813432000000e-02, -1.087172e-01, 4.973147e+00
-1.808238400000e-02, -1.071920e-01, 4.972959e+00
-1.803044800000e-02, -1.130506e-01, 4.973050e+00
-1.797851200000e-02, -1.129942e-01, 4.973052e+00
-1.792657600000e-02, -1.066544e-01, 4.972911e+00
-1.787464000000e-02, -1.001242e-01, 4.973233e+00
-1.782270400000e-02, -1.012303e-01, 4.972927e+00
-1.777076800000e-02, -1.026262e-01, 4.972888e+00
-1.771883200000e-02, -9.846727e-02, 4.973005e+00
-1.766689600000e-02, -9.906551e-02, 4.972952e+00
-1.761496000000e-02, -9.396876e-02, 4.972885e+00
-1.756302400000e-02, -8.566780e-02, 4.972912e+00
-1.751108800000e-02, -8.385147e-02, 4.972961e+00
-1.745915200000e-02, -8.432836e-02, 4.973509e+00
-1.740721600000e-02, -9.024297e-02, 4.972453e+00
-1.735528000000e-02, -9.209082e-02, 4.973129e+00
-1.730334400000e-02, -9.313396e-02, 4.972900e+00
-1.725140800000e-02, -9.203391e-02, 4.972938e+00
-1.719947200000e-02, -8.858325e-02, 4.972870e+00
-1.714753600000e-02, -8.763087e-02, 4.972916e+00
-1.709560000000e-02, -8.846003e-02, 4.972949e+00
-1.704366400000e-02, -8.957654e-02, 4.972876e+00
-1.699172800000e-02, -9.197888e-02, 4.972796e+00
-1.693979200000e-02, -8.738584e-02, 4.972957e+00
-1.688785600000e-02, -8.821876e-02, 4.972981e+00
-1.683592000000e-02, -9.000782e-02, 4.972901e+00
-1.678398400000e-02, -8.684028e-02, 4.972890e+00
-1.673204800000e-02, -8.577974e-02, 4.972907e+00
-1.668011200000e-02, -8.667097e-02, 4.972887e+00
-1.662817600000e-02, -8.727438e-02, 4.972857e+00
-1.657624000000e-02, -9.412208e-02, 4.972878e+00
-1.652430400000e-02, -9.978555e-02, 4.972856e+00
-1.647236800000e-02, -1.092317e-01, 4.972913e+00
-1.642043200000e-02, -1.245074e-01, 4.972871e+00
-1.636849600000e-02, -1.285262e-01, 4.972771e+00
-1.631656000000e-02, -1.349111e-01, 4.972856e+00
-1.626462400000e-02, -1.467412e-01, 4.972848e+00
-1.621268800000e-02, -1.429143e-01, 4.972810e+00
-1.616075200000e-02, -1.540950e-01, 4.972919e+00
-1.610881600000e-02, -1.620484e-01, 4.972944e+00
-1.605688000000e-02, -1.726228e-01, 4.972853e+00
-1.600494400000e-02, -1.777266e-01, 4.973049e+00
-1.595300800000e-02, -1.821283e-01, 4.972879e+00
