% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 50 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 70.29 ms, time offset -3.740 ms, Precision acquisition mode, 40 averages
% Edge trigger: Channel B, level 142.3 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2024-11-14 T 14:53:16 +0100
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-3.140819200000e-02, -1.929518e-01, 4.973063e+00
-3.133926400000e-02, -2.025070e-01, 4.973041e+00
-3.127033600000e-02, -2.133351e-01, 4.973000e+00
-3.120140800000e-02, -2.206596e-01, 4.973025e+00
-3.113248000000e-02, -2.214870e-01, 4.973091e+00
-3.106355200000e-02, -2.330675e-01, 4.973050e+00
-3.099462400000e-02, -2.462192e-01, 4.973140e+00
-3.092569600000e-02, -2.544080e-01, 4.973127e+00
-3.085676800000e-02, -2.726927e-01, 4.973057e+00
-3.078784000000e-02, -2.778038e-01, 4.973114e+00
-3.071891200000e-02, -2.884101e-01, 4.973118e+00
-3.064998400000e-02, -2.974369e-01, 4.973108e+00
-3.058105600000e-02, -3.009913e-01, 4.973337e+00
-3.051212800000e-02, -3.174223e-01, 4.972945e+00
-3.044320000000e-02, -3.237889e-01, 4.973142e+00
-3.037427200000e-02, -3.200085e-01, 4.973304e+00
-3.030534400000e-02, -3.212173e-01, 4.973184e+00
-3.023641600000e-02, -3.358290e-01, 4.973170e+00
-3.016748800000e-02, -3.379658e-01, 4.973247e+00
-3.009856000000e-02, -3.442382e-01, 4.973243e+00
-3.002963200000e-02, -3.503847e-01, 4.973240e+00
-2.996070400000e-02, -3.653398e-01, 4.973281e+00
-2.989177600000e-02, -3.673006e-01, 4.973264e+00
-2.982284800000e-02, -3.690515e-01, 4.973295e+00
-2.975392000000e-02, -3.725144e-01, 4.973186e+00
-2.968499200000e-02, -3.845637e-01, 4.973313e+00
-2.961606400000e-02, -3.917336e-01, 4.973126e+00
-2.954713600000e-02, -3.942840e-01, 4.973295e+00
-2.947820800000e-02, -4.040852e-01, 4.973293e+00
-2.940928000000e-02, -4.090857e-01, 4.973221e+00
-2.934035200000e-02, -4.120911e-01, 4.973324e+00
-2.927142400000e-02, -4.163063e-01, 4.973209e+00
-2.920249600000e-02, -4.222700e-01, 4.973343e+00
-2.913356800000e-02, -4.257645e-01, 4.973147e+00
-2.906464000000e-02, -4.287752e-01, 4.973197e+00
-2.899571200000e-02, -4.351864e-01, 4.973230e+00
-2.892678400000e-02, -4.389116e-01, 4.973317e+00
-2.885785600000e-02, -4.442356e-01, 4.973262e+00
-2.878892800000e-02, -4.459579e-01, 4.973284e+00
-2.872000000000e-02, -4.516466e-01, 4.973257e+00
-2.865107200000e-02, -4.669433e-01, 4.973256e+00
-2.858214400000e-02, -4.712630e-01, 4.973314e+00
