% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 50 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 84.39 ms, time offset -3.740 ms, Precision acquisition mode, 40 averages
% Edge trigger: Channel B, level 427.0 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2024-11-14 T 17:57:19 +0100
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-3.845932800000e-02, -3.567837e-02, -3.384852e-02
-3.837353600000e-02, -3.835978e-02, -3.361478e-02
-3.828774400000e-02, -4.735240e-02, -3.366283e-02
-3.820195200000e-02, -4.881155e-02, -3.366560e-02
-3.811616000000e-02, -3.839651e-02, -3.362807e-02
-3.803036800000e-02, -4.082282e-02, -3.371351e-02
-3.794457600000e-02, -3.169952e-02, -3.376206e-02
-3.785878400000e-02, -3.122434e-02, -3.376450e-02
-3.777299200000e-02, -3.342829e-02, -3.367095e-02
-3.768720000000e-02, -3.612764e-02, -3.378725e-02
-3.760140800000e-02, -3.796147e-02, -3.379500e-02
-3.751561600000e-02, -3.952738e-02, -3.369785e-02
-3.742982400000e-02, -3.744557e-02, -3.382219e-02
-3.734403200000e-02, -3.601746e-02, -3.378515e-02
-3.725824000000e-02, -3.180230e-02, -3.367163e-02
-3.717244800000e-02, -3.512916e-02, 3.751493e-01
-3.708665600000e-02, -3.955073e-02, 2.340242e+00
-3.700086400000e-02, -3.765484e-02, 4.276425e+00
-3.691507200000e-02, -3.136043e-02, 4.956180e+00
-3.682928000000e-02, -2.649670e-02, 4.956521e+00
-3.674348800000e-02, -2.658069e-02, 4.956500e+00
-3.665769600000e-02, -3.454721e-02, 4.956861e+00
-3.657190400000e-02, -3.750109e-02, 4.956763e+00
-3.648611200000e-02, -4.073428e-02, 4.956805e+00
-3.640032000000e-02, -3.691174e-02, 4.956728e+00
-3.631452800000e-02, -3.753810e-02, 4.956754e+00
-3.622873600000e-02, -3.482338e-02, 4.956820e+00
-3.614294400000e-02, -3.147801e-02, 4.957059e+00
-3.605715200000e-02, -4.303133e-02, 4.957121e+00
-3.597136000000e-02, -4.024230e-02, 4.957091e+00
-3.588556800000e-02, -4.221051e-02, 4.957080e+00
-3.579977600000e-02, -4.087578e-02, 4.957032e+00
-3.571398400000e-02, -3.562313e-02, 4.956974e+00
-3.562819200000e-02, -3.174365e-02, 4.957125e+00
-3.554240000000e-02, -4.328586e-02, 4.956989e+00
-3.545660800000e-02, -4.660019e-02, 4.957085e+00
-3.537081600000e-02, -6.215741e-02, 4.957101e+00
-3.528502400000e-02, -5.862585e-02, 4.957237e+00
-3.519923200000e-02, -6.237892e-02, 4.957210e+00
-3.511344000000e-02, -6.939849e-02, 4.957128e+00
-3.502764800000e-02, -6.632673e-02, 4.957085e+00
-3.494185600000e-02, -6.759284e-02, 4.956897e+00
-3.485606400000e-02, -6.187298e-02, 4.956913e+00
-3.477027200000e-02, -5.459347e-02, 4.956903e+00
-3.468448000000e-02, -4.384959e-02, 4.956950e+00
-3.459868800000e-02, -5.440158e-02, 4.957009e+00
-3.451289600000e-02, -6.303290e-02, 4.957075e+00
-3.442710400000e-02, -6.155895e-02, 4.957398e+00
-3.434131200000e-02, -5.388397e-02, 4.956679e+00
-3.425552000000e-02, -5.071371e-02, 4.956982e+00
-3.416972800000e-02, -5.113878e-02, 4.957130e+00
-3.408393600000e-02, -5.915114e-02, 4.956929e+00
-3.399814400000e-02, -5.550256e-02, 4.957194e+00
-3.391235200000e-02, -5.990620e-02, 4.956931e+00
-3.382656000000e-02, -6.302692e-02, 4.956975e+00
-3.374076800000e-02, -6.318608e-02, 4.957196e+00
-3.365497600000e-02, -6.712933e-02, 4.956944e+00
-3.356918400000e-02, -6.322138e-02, 4.957071e+00
-3.348339200000e-02, -5.679885e-02, 4.957003e+00
-3.339760000000e-02, -6.701744e-02, 4.957089e+00
-3.331180800000e-02, -7.266185e-02, 4.956945e+00
-3.322601600000e-02, -7.562655e-02, 4.957001e+00
-3.314022400000e-02, -6.926154e-02, 4.957177e+00
-3.305443200000e-02, -5.688939e-02, 4.957106e+00
-3.296864000000e-02, -6.410769e-02, 4.957024e+00
-3.288284800000e-02, -6.837238e-02, 4.957160e+00
-3.279705600000e-02, -6.236383e-02, 4.956889e+00
-3.271126400000e-02, -5.332053e-02, 4.957053e+00
-3.262547200000e-02, -5.679999e-02, 4.957032e+00
-3.253968000000e-02, -5.664539e-02, 4.957069e+00
-3.245388800000e-02, -5.688569e-02, 4.957211e+00
-3.236809600000e-02, -6.233650e-02, 4.956971e+00
-3.228230400000e-02, -6.746245e-02, 4.957180e+00
-3.219651200000e-02, -7.629790e-02, 4.957081e+00
-3.211072000000e-02, -6.949870e-02, 4.957060e+00
