% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 50 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 106.4 ms, time offset -3.740 ms, Precision acquisition mode, 39 averages
% Edge trigger: Channel B, level 427.0 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2024-11-14 T 19:19:21 +0100
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-4.945564800000e-02, -2.983017e-01, -3.586140e-02
-4.935126400000e-02, -2.822060e-01, -3.593199e-02
-4.924688000000e-02, -2.622631e-01, -3.584276e-02
-4.914249600000e-02, -2.681371e-01, -3.592659e-02
-4.903811200000e-02, -2.659097e-01, 3.542935e-01
-4.893372800000e-02, -2.626740e-01, 1.699360e+00
-4.882934400000e-02, -2.598173e-01, 2.536434e+00
-4.872496000000e-02, -2.495361e-01, 3.314115e+00
-4.862057600000e-02, -2.400606e-01, 4.740644e+00
-4.851619200000e-02, -2.360866e-01, 4.955356e+00
-4.841180800000e-02, -2.301466e-01, 4.955523e+00
-4.830742400000e-02, -2.257121e-01, 4.955515e+00
-4.820304000000e-02, -2.184362e-01, 4.955739e+00
-4.809865600000e-02, -2.123671e-01, 4.955672e+00
-4.799427200000e-02, -2.035432e-01, 4.955566e+00
-4.788988800000e-02, -2.016047e-01, 4.955675e+00
-4.778550400000e-02, -1.939895e-01, 4.955794e+00
-4.768112000000e-02, -1.886187e-01, 4.955652e+00
-4.757673600000e-02, -1.817362e-01, 4.955811e+00
-4.747235200000e-02, -1.794379e-01, 4.955692e+00
-4.736796800000e-02, -1.672612e-01, 4.955721e+00
-4.726358400000e-02, -1.637596e-01, 4.955826e+00
-4.715920000000e-02, -1.509615e-01, 4.955669e+00
-4.705481600000e-02, -1.335468e-01, 4.955628e+00
-4.695043200000e-02, -1.325486e-01, 4.955599e+00
-4.684604800000e-02, -1.347684e-01, 4.955568e+00
-4.674166400000e-02, -1.382909e-01, 4.955396e+00
-4.663728000000e-02, -1.341890e-01, 4.955576e+00
-4.653289600000e-02, -1.233645e-01, 4.955552e+00
-4.642851200000e-02, -1.236835e-01, 4.955502e+00
-4.632412800000e-02, -1.252545e-01, 4.955470e+00
-4.621974400000e-02, -1.228101e-01, 4.955513e+00
-4.611536000000e-02, -1.175982e-01, 4.955552e+00
-4.601097600000e-02, -1.194208e-01, 4.955586e+00
-4.590659200000e-02, -1.106291e-01, 4.955535e+00
-4.580220800000e-02, -9.846678e-02, 4.955417e+00
-4.569782400000e-02, -1.014195e-01, 4.955695e+00
-4.559344000000e-02, -9.610036e-02, 4.955711e+00
-4.548905600000e-02, -9.052249e-02, 4.955589e+00
-4.538467200000e-02, -9.103418e-02, 4.955588e+00
-4.528028800000e-02, -8.998345e-02, 4.955333e+00
-4.517590400000e-02, -8.986177e-02, 4.955570e+00
-4.507152000000e-02, -7.922875e-02, 4.955337e+00
-4.496713600000e-02, -6.897422e-02, 4.955344e+00
-4.486275200000e-02, -7.006382e-02, 4.955322e+00
-4.475836800000e-02, -6.969446e-02, 4.955419e+00
-4.465398400000e-02, -6.837445e-02, 4.955391e+00
-4.454960000000e-02, -6.115209e-02, 4.955457e+00
-4.444521600000e-02, -5.517222e-02, 4.955399e+00
-4.434083200000e-02, -5.486742e-02, 4.955299e+00
-4.423644800000e-02, -4.998627e-02, 4.955348e+00
-4.413206400000e-02, -4.812170e-02, 4.955393e+00
-4.402768000000e-02, -5.384261e-02, 4.955505e+00
-4.392329600000e-02, -5.865512e-02, 4.955394e+00
-4.381891200000e-02, -5.654551e-02, 4.955317e+00
-4.371452800000e-02, -4.367328e-02, 4.955324e+00
-4.361014400000e-02, -3.820773e-02, 4.955442e+00
-4.350576000000e-02, -4.277975e-02, 4.955604e+00
-4.340137600000e-02, -4.304087e-02, 4.955401e+00
-4.329699200000e-02, -3.660740e-02, 4.955457e+00
-4.319260800000e-02, -3.989998e-02, 4.955610e+00
-4.308822400000e-02, -3.013984e-02, 4.955509e+00
-4.298384000000e-02, -3.021544e-02, 4.955521e+00
-4.287945600000e-02, -3.089393e-02, 4.955588e+00
-4.277507200000e-02, -3.045497e-02, 4.955493e+00
-4.267068800000e-02, -2.845791e-02, 4.955455e+00
-4.256630400000e-02, -3.112433e-02, 4.955404e+00
-4.246192000000e-02, -3.354018e-02, 4.955420e+00
-4.235753600000e-02, -2.368693e-02, 4.955422e+00
-4.225315200000e-02, -2.012411e-02, 4.955323e+00
-4.214876800000e-02, -2.039339e-02, 4.955300e+00
-4.204438400000e-02, -1.681641e-02, 4.955363e+00
-4.194000000000e-02, -2.005451e-02, 4.955376e+00
-4.183561600000e-02, -2.433157e-02, 4.955418e+00
-4.173123200000e-02, -1.900450e-02, 4.955251e+00
-4.162684800000e-02, -2.080403e-02, 4.955405e+00
