% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 50 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 106.4 ms, time offset -3.740 ms, Precision acquisition mode, 39 averages
% Edge trigger: Channel B, level 427.0 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2024-11-14 T 19:21:23 +0100
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-4.945564800000e-02, -2.876588e-01, -3.571603e-02
-4.935126400000e-02, -2.781654e-01, -3.577239e-02
-4.924688000000e-02, -2.685761e-01, -3.571023e-02
-4.914249600000e-02, -2.655470e-01, -3.576454e-02
-4.903811200000e-02, -2.609894e-01, 2.910652e-01
-4.893372800000e-02, -2.574259e-01, 1.610793e+00
-4.882934400000e-02, -2.582522e-01, 2.897650e+00
-4.872496000000e-02, -2.540433e-01, 3.861988e+00
-4.862057600000e-02, -2.507392e-01, 4.887933e+00
-4.851619200000e-02, -2.473158e-01, 4.955073e+00
-4.841180800000e-02, -2.372785e-01, 4.954996e+00
-4.830742400000e-02, -2.260320e-01, 4.955219e+00
-4.820304000000e-02, -2.129872e-01, 4.955270e+00
-4.809865600000e-02, -2.082835e-01, 4.955200e+00
-4.799427200000e-02, -2.017228e-01, 4.955315e+00
-4.788988800000e-02, -1.935762e-01, 4.955241e+00
-4.778550400000e-02, -1.803408e-01, 4.955409e+00
-4.768112000000e-02, -1.776811e-01, 4.955520e+00
-4.757673600000e-02, -1.701151e-01, 4.955423e+00
-4.747235200000e-02, -1.652373e-01, 4.955281e+00
-4.736796800000e-02, -1.663060e-01, 4.955250e+00
-4.726358400000e-02, -1.659155e-01, 4.955252e+00
-4.715920000000e-02, -1.636960e-01, 4.955177e+00
-4.705481600000e-02, -1.583987e-01, 4.955284e+00
-4.695043200000e-02, -1.576537e-01, 4.955337e+00
-4.684604800000e-02, -1.452822e-01, 4.955323e+00
-4.674166400000e-02, -1.386718e-01, 4.955315e+00
-4.663728000000e-02, -1.429952e-01, 4.955455e+00
-4.653289600000e-02, -1.296792e-01, 4.955541e+00
-4.642851200000e-02, -1.224439e-01, 4.955280e+00
-4.632412800000e-02, -1.278350e-01, 4.955268e+00
-4.621974400000e-02, -1.213391e-01, 4.955432e+00
-4.611536000000e-02, -1.109884e-01, 4.955424e+00
-4.601097600000e-02, -1.140196e-01, 4.955370e+00
-4.590659200000e-02, -1.129859e-01, 4.955403e+00
-4.580220800000e-02, -1.053819e-01, 4.955271e+00
-4.569782400000e-02, -1.007789e-01, 4.955129e+00
-4.559344000000e-02, -9.955158e-02, 4.955339e+00
-4.548905600000e-02, -1.035661e-01, 4.955227e+00
