% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 50 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 74.80 ms, time offset 0.000 s, Precision acquisition mode, 40 averages
% Edge trigger: Channel B, level 142.3 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2024-11-14 T 14:44:32 +0100
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-3.740544000000e-02, -4.444508e-01, 4.973493e+00
-3.733209600000e-02, -4.502739e-01, 4.973597e+00
-3.725875200000e-02, -4.519141e-01, 4.973486e+00
-3.718540800000e-02, -4.502526e-01, 4.973451e+00
-3.711206400000e-02, -4.506819e-01, 4.973510e+00
-3.703872000000e-02, -4.550243e-01, 4.973480e+00
-3.696537600000e-02, -4.632302e-01, 4.973566e+00
-3.689203200000e-02, -4.793058e-01, 4.973706e+00
-3.681868800000e-02, -4.847472e-01, 4.973358e+00
-3.674534400000e-02, -4.873515e-01, 4.973513e+00
-3.667200000000e-02, -4.941041e-01, 4.973479e+00
-3.659865600000e-02, -4.867970e-01, 4.973406e+00
-3.652531200000e-02, -4.861389e-01, 4.973516e+00
-3.645196800000e-02, -4.965169e-01, 4.973478e+00
-3.637862400000e-02, -5.099032e-01, 4.973477e+00
-3.630528000000e-02, -5.167387e-01, 4.973494e+00
-3.623193600000e-02, -5.178214e-01, 4.973504e+00
-3.615859200000e-02, -5.276245e-01, 4.973549e+00
-3.608524800000e-02, -5.329990e-01, 4.973545e+00
-3.601190400000e-02, -5.296937e-01, 4.973509e+00
-3.593856000000e-02, -5.325967e-01, 4.973552e+00
-3.586521600000e-02, -5.422141e-01, 4.973545e+00
-3.579187200000e-02, -5.497316e-01, 4.973582e+00
-3.571852800000e-02, -5.489790e-01, 4.973528e+00
-3.564518400000e-02, -5.499231e-01, 4.973668e+00
-3.557184000000e-02, -5.532221e-01, 4.973442e+00
-3.549849600000e-02, -5.540714e-01, 4.973600e+00
-3.542515200000e-02, -5.575173e-01, 4.973578e+00
-3.535180800000e-02, -5.653932e-01, 4.973598e+00
-3.527846400000e-02, -5.781590e-01, 4.973507e+00
-3.520512000000e-02, -5.721871e-01, 4.973578e+00
-3.513177600000e-02, -5.690392e-01, 4.973505e+00
-3.505843200000e-02, -5.812422e-01, 4.973504e+00
-3.498508800000e-02, -5.852406e-01, 4.973544e+00
-3.491174400000e-02, -5.913538e-01, 4.973576e+00
-3.483840000000e-02, -5.927775e-01, 4.973606e+00
-3.476505600000e-02, -5.937350e-01, 4.973614e+00
-3.469171200000e-02, -5.930243e-01, 4.973615e+00
-3.461836800000e-02, -5.878523e-01, 4.973664e+00
-3.454502400000e-02, -6.005035e-01, 4.973594e+00
-3.447168000000e-02, -6.091051e-01, 4.973551e+00
-3.439833600000e-02, -6.146281e-01, 4.973606e+00
-3.432499200000e-02, -6.144650e-01, 4.973619e+00
-3.425164800000e-02, -6.123402e-01, 4.973578e+00
-3.417830400000e-02, -6.168661e-01, 4.973556e+00
-3.410496000000e-02, -6.309218e-01, 4.973589e+00
-3.403161600000e-02, -6.239531e-01, 4.973504e+00
-3.395827200000e-02, -6.267199e-01, 4.973477e+00
-3.388492800000e-02, -6.257135e-01, 4.973494e+00
-3.381158400000e-02, -6.321590e-01, 4.973523e+00
-3.373824000000e-02, -6.411343e-01, 4.973553e+00
-3.366489600000e-02, -6.515655e-01, 4.973572e+00
-3.359155200000e-02, -6.469637e-01, 4.973602e+00
-3.351820800000e-02, -6.466186e-01, 4.973537e+00
-3.344486400000e-02, -6.408855e-01, 4.973583e+00
-3.337152000000e-02, -6.490268e-01, 4.973756e+00
