% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 50 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 70.29 ms, time offset -3.740 ms, Precision acquisition mode, 40 averages
% Edge trigger: Channel B, level 142.3 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2024-11-14 T 14:58:53 +0100
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-3.140819200000e-02, -6.727112e-01, -1.319920e-02
-3.133926400000e-02, -6.782766e-01, -1.326420e-02
-3.127033600000e-02, -6.750419e-01, -1.330316e-02
-3.120140800000e-02, -6.792989e-01, -1.328535e-02
-3.113248000000e-02, -6.779452e-01, -1.325692e-02
-3.106355200000e-02, -6.744355e-01, -1.324693e-02
-3.099462400000e-02, -6.743983e-01, -1.323514e-02
-3.092569600000e-02, -6.788063e-01, -1.331556e-02
-3.085676800000e-02, -6.860560e-01, -1.331526e-02
-3.078784000000e-02, -6.888708e-01, -1.330703e-02
-3.071891200000e-02, -6.827207e-01, -1.329953e-02
-3.064998400000e-02, -6.854965e-01, -1.335359e-02
-3.058105600000e-02, -6.791497e-01, -1.332246e-02
-3.051212800000e-02, -6.793425e-01, -1.335085e-02
-3.044320000000e-02, -6.803291e-01, -1.335894e-02
-3.037427200000e-02, -6.822451e-01, -1.336806e-02
-3.030534400000e-02, -6.830988e-01, -1.338619e-02
-3.023641600000e-02, -6.797461e-01, -1.336850e-02
-3.016748800000e-02, -6.791823e-01, -1.334877e-02
-3.009856000000e-02, -6.786710e-01, -1.335417e-02
-3.002963200000e-02, -6.811303e-01, -1.333430e-02
-2.996070400000e-02, -6.770834e-01, -1.334147e-02
-2.989177600000e-02, -6.841726e-01, -1.333675e-02
-2.982284800000e-02, -6.803960e-01, -1.336494e-02
-2.975392000000e-02, -6.792833e-01, -1.335150e-02
-2.968499200000e-02, -6.728253e-01, -1.341930e-02
-2.961606400000e-02, -6.631634e-01, -1.335107e-02
-2.954713600000e-02, -6.492859e-01, -1.337338e-02
-2.947820800000e-02, -6.401350e-01, -1.335932e-02
-2.940928000000e-02, -6.287973e-01, -1.334873e-02
-2.934035200000e-02, -6.095349e-01, -1.337657e-02
-2.927142400000e-02, -6.062038e-01, -1.342894e-02
-2.920249600000e-02, -6.001221e-01, -1.340485e-02
-2.913356800000e-02, -5.937335e-01, -1.336878e-02
-2.906464000000e-02, -5.770601e-01, -1.337652e-02
-2.899571200000e-02, -5.665350e-01, -1.338360e-02
-2.892678400000e-02, -5.619951e-01, -1.340996e-02
-2.885785600000e-02, -5.594816e-01, -1.342093e-02
-2.878892800000e-02, -5.442292e-01, -1.339857e-02
-2.872000000000e-02, -5.304594e-01, -1.343346e-02
-2.865107200000e-02, -5.179438e-01, -1.343779e-02
-2.858214400000e-02, -5.092770e-01, -1.339672e-02
-2.851321600000e-02, -5.032339e-01, -1.341599e-02
-2.844428800000e-02, -4.917495e-01, -1.342436e-02
-2.837536000000e-02, -4.816386e-01, -1.343329e-02
-2.830643200000e-02, -4.810890e-01, -1.340862e-02
-2.823750400000e-02, -4.834654e-01, -1.338708e-02
-2.816857600000e-02, -4.720852e-01, -1.340479e-02
-2.809964800000e-02, -4.620941e-01, -1.344064e-02
-2.803072000000e-02, -4.545035e-01, -1.342873e-02
-2.796179200000e-02, -4.491256e-01, -1.339106e-02
-2.789286400000e-02, -4.372680e-01, -1.341431e-02
-2.782393600000e-02, -4.365228e-01, -1.337848e-02
-2.775500800000e-02, -4.347562e-01, -1.338306e-02
-2.768608000000e-02, -4.326981e-01, -1.342298e-02
-2.761715200000e-02, -4.195846e-01, -1.340307e-02
-2.754822400000e-02, -4.096864e-01, -1.337276e-02
-2.747929600000e-02, -4.029455e-01, -1.335433e-02
-2.741036800000e-02, -4.118555e-01, -1.336964e-02
-2.734144000000e-02, -4.062830e-01, -1.340500e-02
-2.727251200000e-02, -3.885659e-01, -1.339655e-02
-2.720358400000e-02, -3.845584e-01, -1.337416e-02
-2.713465600000e-02, -3.774100e-01, -1.338217e-02
-2.706572800000e-02, -3.682361e-01, -1.340592e-02
-2.699680000000e-02, -3.670415e-01, -1.338159e-02
-2.692787200000e-02, -3.611849e-01, -1.333556e-02
-2.685894400000e-02, -3.551407e-01, -1.334338e-02
-2.679001600000e-02, -3.467659e-01, -1.333799e-02
-2.672108800000e-02, -3.507079e-01, -1.331711e-02
-2.665216000000e-02, -3.412204e-01, -1.334770e-02
-2.658323200000e-02, -3.312552e-01, -1.338758e-02
-2.651430400000e-02, -3.272082e-01, -1.339037e-02
-2.644537600000e-02, -3.172164e-01, -1.336562e-02
-2.637644800000e-02, -3.118467e-01, -1.337310e-02
-2.630752000000e-02, -3.068791e-01, -1.334720e-02
-2.623859200000e-02, -3.004193e-01, -1.337329e-02
-2.616966400000e-02, -3.026951e-01, -1.334410e-02
-2.610073600000e-02, -2.942558e-01, -1.333489e-02
-2.603180800000e-02, -2.957509e-01, -1.334873e-02
-2.596288000000e-02, -2.968491e-01, -1.341957e-02
-2.589395200000e-02, -2.823695e-01, -1.342869e-02
-2.582502400000e-02, -2.714046e-01, -1.338176e-02
-2.575609600000e-02, -2.734040e-01, -1.337805e-02
-2.568716800000e-02, -2.684945e-01, -1.339757e-02
-2.561824000000e-02, -2.654774e-01, -1.332260e-02
-2.554931200000e-02, -2.521099e-01, -1.333005e-02
-2.548038400000e-02, -2.495446e-01, -1.342573e-02
-2.541145600000e-02, -2.466498e-01, -1.341757e-02
-2.534252800000e-02, -2.489879e-01, -1.340066e-02
-2.527360000000e-02, -2.425752e-01, -1.339919e-02
-2.520467200000e-02, -2.307276e-01, -1.340144e-02
-2.513574400000e-02, -2.315862e-01, -1.344654e-02
-2.506681600000e-02, -2.281683e-01, -1.341142e-02
-2.499788800000e-02, -2.231742e-01, -1.343666e-02
-2.492896000000e-02, -2.269730e-01, -1.349219e-02
-2.486003200000e-02, -2.178983e-01, -1.349119e-02
-2.479110400000e-02, -2.036063e-01, -1.340185e-02
-2.472217600000e-02, -2.081677e-01, -1.337806e-02
-2.465324800000e-02, -2.053164e-01, -1.339369e-02
-2.458432000000e-02, -2.000920e-01, -1.336368e-02
-2.451539200000e-02, -1.977864e-01, -1.335325e-02
-2.444646400000e-02, -1.939227e-01, -1.337966e-02
-2.437753600000e-02, -1.850426e-01, -1.341473e-02
-2.430860800000e-02, -1.897717e-01, -1.336482e-02
-2.423968000000e-02, -1.817930e-01, -1.336278e-02
-2.417075200000e-02, -1.795446e-01, -1.334023e-02
-2.410182400000e-02, -1.821612e-01, -1.335508e-02
-2.403289600000e-02, -1.793716e-01, -1.339663e-02
-2.396396800000e-02, -1.714249e-01, -1.341431e-02
-2.389504000000e-02, -1.694854e-01, -1.340675e-02
-2.382611200000e-02, -1.662288e-01, -1.333749e-02
-2.375718400000e-02, -1.700386e-01, -1.336196e-02
-2.368825600000e-02, -1.681186e-01, -1.338611e-02
-2.361932800000e-02, -1.666501e-01, -1.340578e-02
-2.355040000000e-02, -1.667040e-01, -1.342444e-02
-2.348147200000e-02, -1.591779e-01, -1.338159e-02
-2.341254400000e-02, -1.517131e-01, -1.336168e-02
-2.334361600000e-02, -1.500298e-01, -1.339499e-02
-2.327468800000e-02, -1.461527e-01, -1.339386e-02
-2.320576000000e-02, -1.369408e-01, -1.337778e-02
-2.313683200000e-02, -1.299084e-01, -1.338089e-02
-2.306790400000e-02, -1.246818e-01, -1.341970e-02
-2.299897600000e-02, -1.370780e-01, -1.340394e-02
-2.293004800000e-02, -1.476601e-01, -1.340078e-02
-2.286112000000e-02, -1.466853e-01, -1.342175e-02
-2.279219200000e-02, -1.433840e-01, -1.348398e-02
-2.272326400000e-02, -1.337458e-01, -1.343614e-02
-2.265433600000e-02, -1.327982e-01, -1.345408e-02
-2.258540800000e-02, -1.300405e-01, -1.340721e-02
-2.251648000000e-02, -1.185976e-01, -1.340533e-02
-2.244755200000e-02, -1.084148e-01, -1.340409e-02
-2.237862400000e-02, -1.097334e-01, -1.344361e-02
-2.230969600000e-02, -1.083010e-01, -1.342322e-02
-2.224076800000e-02, -1.013401e-01, -1.341782e-02
-2.217184000000e-02, -1.119730e-01, -1.340435e-02
-2.210291200000e-02, -1.128554e-01, -1.339947e-02
-2.203398400000e-02, -1.187634e-01, -1.336652e-02
-2.196505600000e-02, -1.190221e-01, -1.339098e-02
-2.189612800000e-02, -1.155387e-01, -1.335857e-02
-2.182720000000e-02, -1.048261e-01, -1.337356e-02
-2.175827200000e-02, -1.007519e-01, -1.334516e-02
-2.168934400000e-02, -1.006980e-01, -1.338008e-02
-2.162041600000e-02, -9.602566e-02, -1.340071e-02
-2.155148800000e-02, -8.995992e-02, 1.650529e-02
-2.148256000000e-02, -8.729399e-02, 5.160644e-01
-2.141363200000e-02, -8.185867e-02, 1.504774e+00
-2.134470400000e-02, -8.042773e-02, 2.479939e+00
-2.127577600000e-02, -8.606539e-02, 2.479926e+00
-2.120684800000e-02, -8.140437e-02, 2.479963e+00
-2.113792000000e-02, -8.506430e-02, 3.028817e+00
-2.106899200000e-02, -8.049364e-02, 4.408554e+00
-2.100006400000e-02, -7.812433e-02, 4.973260e+00
-2.093113600000e-02, -7.255222e-02, 4.973354e+00
-2.086220800000e-02, -6.895041e-02, 4.973352e+00
-2.079328000000e-02, -6.079813e-02, 4.973393e+00
-2.072435200000e-02, -6.264936e-02, 4.973453e+00
-2.065542400000e-02, -6.776539e-02, 4.973386e+00
-2.058649600000e-02, -7.847480e-02, 4.973336e+00
-2.051756800000e-02, -7.892449e-02, 4.973316e+00
-2.044864000000e-02, -8.112796e-02, 4.973447e+00
-2.037971200000e-02, -7.129491e-02, 4.973358e+00
-2.031078400000e-02, -7.469119e-02, 4.973282e+00
-2.024185600000e-02, -7.336302e-02, 4.973296e+00
-2.017292800000e-02, -7.617848e-02, 4.973281e+00
-2.010400000000e-02, -7.668452e-02, 4.973238e+00
-2.003507200000e-02, -7.768987e-02, 4.973236e+00
-1.996614400000e-02, -7.031048e-02, 4.973302e+00
-1.989721600000e-02, -6.856875e-02, 4.973212e+00
-1.982828800000e-02, -6.914425e-02, 4.973239e+00
-1.975936000000e-02, -7.067087e-02, 4.973263e+00
-1.969043200000e-02, -6.571076e-02, 4.973331e+00
-1.962150400000e-02, -6.581494e-02, 4.973275e+00
-1.955257600000e-02, -6.401545e-02, 4.973265e+00
-1.948364800000e-02, -6.094378e-02, 4.973225e+00
-1.941472000000e-02, -5.952134e-02, 4.973254e+00
-1.934579200000e-02, -5.939908e-02, 4.973196e+00
-1.927686400000e-02, -5.393222e-02, 4.973431e+00
-1.920793600000e-02, -5.610592e-02, 4.973029e+00
-1.913900800000e-02, -5.726684e-02, 4.973141e+00
-1.907008000000e-02, -6.559842e-02, 4.973145e+00
-1.900115200000e-02, -8.180764e-02, 4.973130e+00
-1.893222400000e-02, -9.045178e-02, 4.973160e+00
-1.886329600000e-02, -8.358197e-02, 4.973189e+00
-1.879436800000e-02, -9.225871e-02, 4.973146e+00
-1.872544000000e-02, -1.047350e-01, 4.973154e+00
-1.865651200000e-02, -1.158725e-01, 4.973221e+00
-1.858758400000e-02, -1.292790e-01, 4.973293e+00
-1.851865600000e-02, -1.374777e-01, 4.973275e+00
-1.844972800000e-02, -1.459230e-01, 4.973236e+00
-1.838080000000e-02, -1.527595e-01, 4.973250e+00
-1.831187200000e-02, -1.618403e-01, 4.973221e+00
-1.824294400000e-02, -1.679783e-01, 4.973274e+00
-1.817401600000e-02, -1.827006e-01, 4.973361e+00
-1.810508800000e-02, -1.911487e-01, 4.973378e+00
-1.803616000000e-02, -2.087474e-01, 4.973531e+00
-1.796723200000e-02, -2.242664e-01, 4.973222e+00
-1.789830400000e-02, -2.284787e-01, 4.973540e+00
-1.782937600000e-02, -2.280705e-01, 4.973311e+00
-1.776044800000e-02, -2.304969e-01, 4.973663e+00
-1.769152000000e-02, -2.264599e-01, 4.973222e+00
-1.762259200000e-02, -2.358071e-01, 4.973479e+00
-1.755366400000e-02, -2.419264e-01, 4.973619e+00
-1.748473600000e-02, -2.526684e-01, 4.973317e+00
-1.741580800000e-02, -2.637024e-01, 4.973585e+00
-1.734688000000e-02, -2.746903e-01, 4.973508e+00
-1.727795200000e-02, -2.939606e-01, 4.973508e+00
-1.720902400000e-02, -3.057182e-01, 4.973492e+00
-1.714009600000e-02, -3.151611e-01, 4.973552e+00
-1.707116800000e-02, -3.209458e-01, 4.973577e+00
-1.700224000000e-02, -3.313586e-01, 4.973584e+00
-1.693331200000e-02, -3.405060e-01, 4.973594e+00
-1.686438400000e-02, -3.522632e-01, 4.973673e+00
-1.679545600000e-02, -3.450185e-01, 4.973586e+00
-1.672652800000e-02, -3.415035e-01, 4.973602e+00
-1.665760000000e-02, -3.430142e-01, 4.973663e+00
-1.658867200000e-02, -3.525046e-01, 4.973806e+00
-1.651974400000e-02, -3.623291e-01, 4.973624e+00
-1.645081600000e-02, -3.787258e-01, 4.973424e+00
-1.638188800000e-02, -3.776652e-01, 4.973634e+00
-1.631296000000e-02, -3.815416e-01, 4.973592e+00
-1.624403200000e-02, -3.939003e-01, 4.973585e+00
-1.617510400000e-02, -4.058273e-01, 4.973621e+00
-1.610617600000e-02, -4.062362e-01, 4.973674e+00
-1.603724800000e-02, -4.165296e-01, 4.973838e+00
-1.596832000000e-02, -4.252644e-01, 4.973587e+00
-1.589939200000e-02, -4.286834e-01, 4.973636e+00
-1.583046400000e-02, -4.275083e-01, 4.973893e+00
-1.576153600000e-02, -4.256259e-01, 4.973509e+00
-1.569260800000e-02, -4.358551e-01, 4.973658e+00
-1.562368000000e-02, -4.483605e-01, 4.973644e+00
-1.555475200000e-02, -4.473658e-01, 4.973799e+00
-1.548582400000e-02, -4.485090e-01, 4.973581e+00
-1.541689600000e-02, -4.529361e-01, 4.973683e+00
-1.534796800000e-02, -4.645966e-01, 4.973703e+00
-1.527904000000e-02, -4.728807e-01, 4.973789e+00
-1.521011200000e-02, -4.758500e-01, 4.973648e+00
-1.514118400000e-02, -4.731508e-01, 4.973827e+00
-1.507225600000e-02, -4.790167e-01, 4.973659e+00
-1.500332800000e-02, -4.801662e-01, 4.973778e+00
-1.493440000000e-02, -4.783965e-01, 4.973616e+00
-1.486547200000e-02, -4.881718e-01, 4.973828e+00
-1.479654400000e-02, -4.935802e-01, 4.973664e+00
-1.472761600000e-02, -4.949665e-01, 4.973712e+00
-1.465868800000e-02, -5.010712e-01, 4.973608e+00
-1.458976000000e-02, -5.018905e-01, 4.973656e+00
-1.452083200000e-02, -5.141765e-01, 4.973651e+00
-1.445190400000e-02, -5.198071e-01, 4.973664e+00
-1.438297600000e-02, -5.224064e-01, 4.973658e+00
-1.431404800000e-02, -5.219811e-01, 4.973678e+00
-1.424512000000e-02, -5.257197e-01, 4.973703e+00
-1.417619200000e-02, -5.257871e-01, 4.973719e+00
-1.410726400000e-02, -5.295143e-01, 4.973658e+00
-1.403833600000e-02, -5.321923e-01, 4.973661e+00
-1.396940800000e-02, -5.374359e-01, 4.973639e+00
-1.390048000000e-02, -5.454372e-01, 4.973680e+00
-1.383155200000e-02, -5.436377e-01, 4.973761e+00
-1.376262400000e-02, -5.425994e-01, 4.973437e+00
-1.369369600000e-02, -5.423599e-01, 4.973693e+00
-1.362476800000e-02, -5.503080e-01, 4.973678e+00
-1.355584000000e-02, -5.508229e-01, 4.973723e+00
-1.348691200000e-02, -5.586524e-01, 4.973699e+00
-1.341798400000e-02, -5.660934e-01, 4.973700e+00
-1.334905600000e-02, -5.671207e-01, 4.973700e+00
-1.328012800000e-02, -5.699203e-01, 4.973752e+00
-1.321120000000e-02, -5.648662e-01, 4.973670e+00
-1.314227200000e-02, -5.687753e-01, 4.973798e+00
-1.307334400000e-02, -5.750777e-01, 4.973752e+00
-1.300441600000e-02, -5.787596e-01, 4.973669e+00
-1.293548800000e-02, -5.882596e-01, 4.973834e+00
-1.286656000000e-02, -5.927466e-01, 4.973662e+00
-1.279763200000e-02, -6.028440e-01, 4.973675e+00
-1.272870400000e-02, -6.042502e-01, 4.973704e+00
-1.265977600000e-02, -6.095834e-01, 4.973714e+00
-1.259084800000e-02, -6.095693e-01, 4.973685e+00
-1.252192000000e-02, -6.083807e-01, 4.973858e+00
-1.245299200000e-02, -6.134528e-01, 4.973634e+00
-1.238406400000e-02, -6.069863e-01, 4.973716e+00
-1.231513600000e-02, -6.075089e-01, 4.973773e+00
-1.224620800000e-02, -6.066368e-01, 4.973646e+00
-1.217728000000e-02, -6.057445e-01, 4.973876e+00
-1.210835200000e-02, -6.099619e-01, 4.973585e+00
-1.203942400000e-02, -6.137001e-01, 4.973753e+00
-1.197049600000e-02, -6.275120e-01, 4.973700e+00
-1.190156800000e-02, -6.263192e-01, 4.973789e+00
-1.183264000000e-02, -6.270163e-01, 4.973690e+00
-1.176371200000e-02, -6.229091e-01, 4.973780e+00
-1.169478400000e-02, -6.287995e-01, 4.973895e+00
-1.162585600000e-02, -6.249648e-01, 4.973622e+00
-1.155692800000e-02, -6.310866e-01, 4.973754e+00
-1.148800000000e-02, -6.316748e-01, 4.973779e+00
-1.141907200000e-02, -6.354397e-01, 4.973741e+00
-1.135014400000e-02, -6.380280e-01, 4.973701e+00
-1.128121600000e-02, -6.490694e-01, 4.973898e+00
-1.121228800000e-02, -6.516758e-01, 4.973576e+00
-1.114336000000e-02, -6.600088e-01, 4.973964e+00
-1.107443200000e-02, -6.571902e-01, 4.973397e+00
-1.100550400000e-02, -6.551632e-01, 4.973727e+00
-1.093657600000e-02, -6.569435e-01, 4.973699e+00
-1.086764800000e-02, -6.598883e-01, 4.666377e+00
-1.079872000000e-02, -6.634877e-01, 3.935226e+00
-1.072979200000e-02, -6.547422e-01, 2.597423e+00
-1.066086400000e-02, -6.536387e-01, 2.480164e+00
-1.059193600000e-02, -6.551167e-01, 2.480111e+00
-1.052300800000e-02, -6.571916e-01, 2.287402e+00
-1.045408000000e-02, -6.578305e-01, 1.009416e+00
-1.038515200000e-02, -6.561249e-01, 1.291584e-02
-1.031622400000e-02, -6.554824e-01, -1.328212e-02
-1.024729600000e-02, -6.634852e-01, -1.331004e-02
-1.017836800000e-02, -6.757740e-01, -1.330507e-02
-1.010944000000e-02, -6.709567e-01, -1.329728e-02
-1.004051200000e-02, -6.749196e-01, -1.333163e-02
-9.971584000000e-03, -6.697359e-01, -1.332953e-02
-9.902656000000e-03, -6.722767e-01, -1.335819e-02
-9.833728000000e-03, -6.707412e-01, -1.335630e-02
-9.764800000000e-03, -6.690420e-01, -1.335859e-02
-9.695872000000e-03, -6.767127e-01, -1.330466e-02
-9.626944000000e-03, -6.767882e-01, -1.336430e-02
-9.558016000000e-03, -6.815304e-01, -1.329746e-02
-9.489088000000e-03, -6.882978e-01, -1.336246e-02
-9.420160000000e-03, -6.967817e-01, -1.339412e-02
-9.351232000000e-03, -6.930669e-01, -1.339007e-02
-9.282304000000e-03, -6.952565e-01, -1.338638e-02
-9.213376000000e-03, -6.987559e-01, -1.334936e-02
-9.144448000000e-03, -6.971613e-01, -1.337321e-02
-9.075520000000e-03, -6.934170e-01, -1.340433e-02
-9.006592000000e-03, -6.887553e-01, -1.342278e-02
-8.937664000000e-03, -6.930694e-01, -1.341061e-02
-8.868736000000e-03, -6.903336e-01, -1.339203e-02
-8.799808000000e-03, -6.895306e-01, -1.339872e-02
-8.730880000000e-03, -6.869476e-01, -1.342696e-02
-8.661952000000e-03, -6.801207e-01, -1.342930e-02
-8.593024000000e-03, -6.682561e-01, -1.338472e-02
-8.524096000000e-03, -6.678025e-01, -1.340652e-02
