% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 50 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 84.39 ms, time offset -3.740 ms, Precision acquisition mode, 40 averages
% Edge trigger: Channel B, level 427.0 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2024-11-14 T 17:33:10 +0100
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-3.845932800000e-02, -7.161924e-02, 4.957295e+00
-3.837353600000e-02, -6.688562e-02, 4.957360e+00
-3.828774400000e-02, -6.738187e-02, 4.957285e+00
-3.820195200000e-02, -7.188430e-02, 4.957397e+00
-3.811616000000e-02, -7.862685e-02, 4.957510e+00
-3.803036800000e-02, -8.004016e-02, 4.957510e+00
-3.794457600000e-02, -7.944596e-02, 4.957652e+00
-3.785878400000e-02, -7.891441e-02, 4.957298e+00
-3.777299200000e-02, -8.222105e-02, 4.957449e+00
-3.768720000000e-02, -8.361443e-02, 4.957573e+00
-3.760140800000e-02, -8.018707e-02, 4.957505e+00
-3.751561600000e-02, -7.883298e-02, 4.957171e+00
-3.742982400000e-02, -8.475925e-02, 4.867567e+00
-3.734403200000e-02, -8.972576e-02, 2.028168e+00
-3.725824000000e-02, -9.227906e-02, -3.109869e-02
-3.717244800000e-02, -9.168287e-02, -3.250895e-02
-3.708665600000e-02, -8.150557e-02, -3.276759e-02
-3.700086400000e-02, -7.721154e-02, -3.296113e-02
-3.691507200000e-02, -7.448002e-02, -3.306466e-02
-3.682928000000e-02, -7.675287e-02, -3.297622e-02
-3.674348800000e-02, -8.043761e-02, -3.303593e-02
-3.665769600000e-02, -8.418072e-02, -3.296663e-02
-3.657190400000e-02, -8.445262e-02, -3.307812e-02
-3.648611200000e-02, -8.017682e-02, -3.313449e-02
-3.640032000000e-02, -7.099259e-02, -3.311536e-02
-3.631452800000e-02, -7.469384e-02, -3.305759e-02
-3.622873600000e-02, -6.816682e-02, -3.328018e-02
-3.614294400000e-02, -6.779243e-02, -3.338382e-02
-3.605715200000e-02, -7.248903e-02, -3.340121e-02
-3.597136000000e-02, -7.533643e-02, -3.353135e-02
-3.588556800000e-02, -6.995567e-02, -3.343182e-02
-3.579977600000e-02, -6.493876e-02, -3.336702e-02
-3.571398400000e-02, -6.130641e-02, -3.328929e-02
-3.562819200000e-02, -6.509450e-02, -3.316934e-02
-3.554240000000e-02, -6.572627e-02, -3.309694e-02
-3.545660800000e-02, -6.526362e-02, -3.329032e-02
-3.537081600000e-02, -6.364959e-02, -3.323064e-02
-3.528502400000e-02, -6.028002e-02, -3.316704e-02
-3.519923200000e-02, -6.172266e-02, -3.320505e-02
-3.511344000000e-02, -6.669230e-02, -3.315007e-02
-3.502764800000e-02, -5.443888e-02, -3.318973e-02
-3.494185600000e-02, -5.347000e-02, -3.315992e-02
-3.485606400000e-02, -5.404455e-02, -3.313569e-02
-3.477027200000e-02, -6.587689e-02, -3.319969e-02
-3.468448000000e-02, -6.340132e-02, -3.308968e-02
-3.459868800000e-02, -6.270833e-02, -3.307345e-02
-3.451289600000e-02, -6.532113e-02, -3.312729e-02
-3.442710400000e-02, -6.006592e-02, -3.312655e-02
-3.434131200000e-02, -5.787649e-02, -3.318654e-02
-3.425552000000e-02, -6.087849e-02, -3.314489e-02
-3.416972800000e-02, -5.803165e-02, -3.297446e-02
-3.408393600000e-02, -5.323398e-02, -3.313276e-02
-3.399814400000e-02, -4.835686e-02, -3.316578e-02
-3.391235200000e-02, -5.803251e-02, -3.312165e-02
-3.382656000000e-02, -6.088333e-02, -3.305270e-02
-3.374076800000e-02, -5.643556e-02, -3.308646e-02
-3.365497600000e-02, -6.381870e-02, -3.295071e-02
-3.356918400000e-02, -6.006677e-02, -3.320402e-02
-3.348339200000e-02, -5.151403e-02, -3.314993e-02
-3.339760000000e-02, -5.570926e-02, -3.323864e-02
-3.331180800000e-02, -4.818832e-02, -3.325299e-02
-3.322601600000e-02, -4.549637e-02, -3.311701e-02
-3.314022400000e-02, -4.785349e-02, -3.327853e-02
-3.305443200000e-02, -5.221328e-02, -3.313555e-02
-3.296864000000e-02, -4.534319e-02, -3.318247e-02
-3.288284800000e-02, -3.740827e-02, -3.301406e-02
-3.279705600000e-02, -5.455504e-02, -3.320812e-02
-3.271126400000e-02, -5.641449e-02, -3.326709e-02
-3.262547200000e-02, -4.930780e-02, -3.333989e-02
-3.253968000000e-02, -5.277160e-02, -3.316932e-02
-3.245388800000e-02, -5.397537e-02, -3.316459e-02
-3.236809600000e-02, -5.121053e-02, -3.317589e-02
-3.228230400000e-02, -4.921641e-02, -3.317304e-02
-3.219651200000e-02, -4.826519e-02, -3.313845e-02
-3.211072000000e-02, -4.199954e-02, -3.326629e-02
-3.202492800000e-02, -3.860976e-02, -3.314973e-02
-3.193913600000e-02, -3.965266e-02, -3.298400e-02
-3.185334400000e-02, -3.858584e-02, -3.312521e-02
-3.176755200000e-02, -3.888280e-02, -3.314608e-02
-3.168176000000e-02, -3.563224e-02, -3.304467e-02
-3.159596800000e-02, -4.222958e-02, -3.316593e-02
-3.151017600000e-02, -5.072823e-02, -3.314053e-02
-3.142438400000e-02, -5.144769e-02, -3.311177e-02
-3.133859200000e-02, -4.735496e-02, -3.333556e-02
-3.125280000000e-02, -4.158756e-02, -3.340605e-02
-3.116700800000e-02, -4.243742e-02, -3.336033e-02
-3.108121600000e-02, -4.238162e-02, -3.316029e-02
-3.099542400000e-02, -4.155652e-02, -3.331364e-02
-3.090963200000e-02, -4.694099e-02, -3.315243e-02
-3.082384000000e-02, -3.980242e-02, -3.322176e-02
-3.073804800000e-02, -3.658944e-02, -3.320209e-02
-3.065225600000e-02, -3.394191e-02, -3.319055e-02
-3.056646400000e-02, -3.357748e-02, -3.317259e-02
-3.048067200000e-02, -3.409992e-02, -3.326281e-02
-3.039488000000e-02, -2.876300e-02, -3.325647e-02
-3.030908800000e-02, -3.040123e-02, -3.320835e-02
-3.022329600000e-02, -2.920288e-02, -3.332016e-02
-3.013750400000e-02, -2.653827e-02, -3.334168e-02
-3.005171200000e-02, -3.242952e-02, -3.322928e-02
-2.996592000000e-02, -2.780979e-02, -1.076666e-03
-2.988012800000e-02, -2.186472e-02, 3.136552e+00
-2.979433600000e-02, -2.310293e-02, 4.956857e+00
-2.970854400000e-02, -2.090097e-02, 4.956866e+00
-2.962275200000e-02, -2.260213e-02, 4.957163e+00
-2.953696000000e-02, -2.883731e-02, 4.957386e+00
-2.945116800000e-02, -2.548626e-02, 4.957514e+00
-2.936537600000e-02, -3.151787e-02, 4.957517e+00
-2.927958400000e-02, -2.571089e-02, 4.957526e+00
-2.919379200000e-02, -2.200509e-02, 4.957336e+00
-2.910800000000e-02, -2.250846e-02, 4.957505e+00
-2.902220800000e-02, -2.249991e-02, 4.957539e+00
-2.893641600000e-02, -2.945087e-02, 4.957531e+00
-2.885062400000e-02, -2.932018e-02, 4.957579e+00
-2.876483200000e-02, -2.592727e-02, 4.957438e+00
-2.867904000000e-02, -2.661798e-02, 4.957510e+00
-2.859324800000e-02, -2.228638e-02, 4.957500e+00
-2.850745600000e-02, -2.867161e-02, 4.957565e+00
-2.842166400000e-02, -3.051113e-02, 4.957528e+00
-2.833587200000e-02, -3.601091e-02, 4.957700e+00
-2.825008000000e-02, -3.504033e-02, 4.957689e+00
-2.816428800000e-02, -4.166472e-02, 4.957651e+00
-2.807849600000e-02, -3.824789e-02, 4.957672e+00
-2.799270400000e-02, -3.461867e-02, 4.957594e+00
-2.790691200000e-02, -3.982548e-02, 4.957648e+00
-2.782112000000e-02, -3.813315e-02, 4.957703e+00
-2.773532800000e-02, -2.383891e-02, 4.957685e+00
-2.764953600000e-02, -2.113814e-02, 4.957773e+00
-2.756374400000e-02, -3.355100e-02, 4.957661e+00
-2.747795200000e-02, -3.603881e-02, 4.957584e+00
-2.739216000000e-02, -3.954959e-02, 4.957619e+00
-2.730636800000e-02, -4.453860e-02, 4.957505e+00
-2.722057600000e-02, -4.791727e-02, 4.957518e+00
-2.713478400000e-02, -4.116590e-02, 4.957495e+00
-2.704899200000e-02, -4.203911e-02, 4.957549e+00
-2.696320000000e-02, -4.531415e-02, 4.957490e+00
