% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 50 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 84.39 ms, time offset -3.740 ms, Precision acquisition mode, 40 averages
% Edge trigger: Channel B, level 427.0 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2024-11-14 T 18:01:30 +0100
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-3.845932800000e-02, -9.123531e-02, 4.368946e+00
-3.837353600000e-02, -8.471968e-02, 4.956494e+00
-3.828774400000e-02, -7.735760e-02, 4.957040e+00
-3.820195200000e-02, -7.899640e-02, 4.956914e+00
-3.811616000000e-02, -7.879027e-02, 4.957094e+00
-3.803036800000e-02, -8.421204e-02, 4.957250e+00
-3.794457600000e-02, -9.144201e-02, 4.957286e+00
-3.785878400000e-02, -1.018010e-01, 4.957404e+00
-3.777299200000e-02, -1.013648e-01, 4.957409e+00
-3.768720000000e-02, -1.070738e-01, 4.957422e+00
-3.760140800000e-02, -1.027260e-01, 4.957255e+00
-3.751561600000e-02, -9.941650e-02, 4.957233e+00
-3.742982400000e-02, -1.025372e-01, 4.957122e+00
-3.734403200000e-02, -1.012219e-01, 4.957467e+00
-3.725824000000e-02, -1.139035e-01, 4.957361e+00
-3.717244800000e-02, -1.117622e-01, 4.957284e+00
-3.708665600000e-02, -9.724358e-02, 4.957455e+00
-3.700086400000e-02, -1.013411e-01, 4.957494e+00
-3.691507200000e-02, -1.067558e-01, 4.957113e+00
-3.682928000000e-02, -1.126510e-01, 4.957360e+00
-3.674348800000e-02, -1.147314e-01, 4.957438e+00
-3.665769600000e-02, -1.107682e-01, 4.957383e+00
-3.657190400000e-02, -1.112488e-01, 4.957411e+00
-3.648611200000e-02, -1.178200e-01, 4.957351e+00
-3.640032000000e-02, -1.189782e-01, 4.957483e+00
-3.631452800000e-02, -1.227085e-01, 4.957423e+00
-3.622873600000e-02, -1.249432e-01, 4.957343e+00
-3.614294400000e-02, -1.305623e-01, 4.957313e+00
-3.605715200000e-02, -1.351601e-01, 4.957524e+00
-3.597136000000e-02, -1.333217e-01, 4.957622e+00
-3.588556800000e-02, -1.361289e-01, 4.957523e+00
-3.579977600000e-02, -1.328940e-01, 4.957690e+00
